amfi_code,nav_date,rolling_sharpe_90d
119551,2022-05-09,-1.1956038771199502
119551,2022-05-10,-0.978083127340865
119551,2022-05-11,-1.2331991624435683
119551,2022-05-12,-1.6109911901533638
119551,2022-05-13,-1.6404985210495049
119551,2022-05-16,-1.8528409269913555
119551,2022-05-17,-2.1369942114306797
119551,2022-05-18,-2.2453397862049322
119551,2022-05-19,-2.15467532675086
119551,2022-05-20,-2.3130829027775426
119551,2022-05-23,-2.472244493887672
119551,2022-05-24,-2.4640484980120854
119551,2022-05-25,-2.5790886258402255
119551,2022-05-26,-2.4096160409663283
119551,2022-05-27,-2.1417143678342003
119551,2022-05-30,-1.9472645731727019
119551,2022-05-31,-1.3357621987980126
119551,2022-06-01,-1.3639199474414432
119551,2022-06-02,-1.1414557081130974
119551,2022-06-03,-0.892226797960618
119551,2022-06-06,-1.5524851991652997
119551,2022-06-07,-1.5132966778311938
119551,2022-06-08,-1.5147788428549605
119551,2022-06-09,-0.7211433076555724
119551,2022-06-10,-0.6551903192177894
119551,2022-06-13,-0.618354323209308
119551,2022-06-14,-0.40990064046544084
119551,2022-06-15,-0.7007562469459064
119551,2022-06-16,-0.36455462173675246
119551,2022-06-17,-0.16591133314456077
119551,2022-06-20,0.09680291263614894
119551,2022-06-21,-0.433160889034282
119551,2022-06-22,-0.15769938718970752
119551,2022-06-23,-0.2209308289508321
119551,2022-06-24,-0.2661659388052225
119551,2022-06-27,0.3714470975765194
119551,2022-06-28,0.15024926828958968
119551,2022-06-29,0.4115112525231399
119551,2022-06-30,0.6851472410478571
119551,2022-07-01,0.5518552545120774
119551,2022-07-04,0.11913209845384208
119551,2022-07-05,0.0998942246618837
119551,2022-07-06,-0.07572034162597537
119551,2022-07-07,0.06823080716259763
119551,2022-07-08,0.17229698229735976
119551,2022-07-11,0.5912863014814295
119551,2022-07-12,0.5306759421884037
119551,2022-07-13,0.27733270508538543
119551,2022-07-14,0.36370174916167247
119551,2022-07-15,0.4653115191765117
119551,2022-07-18,0.4473820820501476
119551,2022-07-19,0.7573696532513974
119551,2022-07-20,0.5794556360455039
119551,2022-07-21,0.5021839568854592
119551,2022-07-22,0.3625260554237865
119551,2022-07-25,0.3353415319297833
119551,2022-07-26,0.2613814111118787
119551,2022-07-27,0.07637780287261295
119551,2022-07-28,0.11104265141321432
119551,2022-07-29,-0.012896195058504048
119551,2022-08-01,0.12028268128578769
119551,2022-08-02,0.21740361193913244
119551,2022-08-03,0.29596329213298933
119551,2022-08-04,0.5614780018768065
119551,2022-08-05,0.46660707479886543
119551,2022-08-08,0.08193307746682746
119551,2022-08-09,0.4378279540418378
119551,2022-08-10,0.34183801428956884
119551,2022-08-11,0.05670503221391243
119551,2022-08-12,0.2943630831468157
119551,2022-08-15,0.050813168847153964
119551,2022-08-16,-0.08802456341896488
119551,2022-08-17,0.1314100639569077
119551,2022-08-18,-0.3082715898771415
119551,2022-08-19,0.3601596716128324
119551,2022-08-22,0.2825347407085618
119551,2022-08-23,0.4220763275096459
119551,2022-08-24,0.8250968290275884
119551,2022-08-25,0.761921338300073
119551,2022-08-26,1.0108699559791716
119551,2022-08-29,0.8794412101210748
